package,dependency,type
rkafka,apt-get install -y default-jdk,apt-get
rkafka,R CMD javareconf,R CMD
rriskDistributions,apt-get install -y tcl,apt-get
rriskDistributions,apt-get install -y tk,apt-get
rriskDistributions,apt-get install -y tk-dev,apt-get
rriskDistributions,apt-get install -y tk-table,apt-get
bdpopt,apt-get install -y jags,apt-get
RWebLogo,apt-get install -y python,apt-get
gdata,apt-get install -y perl,apt-get
mailR,apt-get install -y default-jdk,apt-get
mailR,R CMD javareconf,R CMD
DeducerText,apt-get install -y default-jdk,apt-get
DeducerText,R CMD javareconf,R CMD
gbp,apt-get install -y make,apt-get
prevalence,apt-get install -y jags,apt-get
permGPU,apt-get install -y nvidia-cuda-dev,apt-get
dataframes2xls,apt-get install -y python,apt-get
dpa,apt-get install -y bwidget,apt-get
dpa,apt-get install -y tcl,apt-get
dpa,apt-get install -y tk,apt-get
dpa,apt-get install -y tk-dev,apt-get
GeoMongo,apt-get install -y mongodb,apt-get
GeoMongo,apt-get install -y python,apt-get
SBRect,apt-get install -y default-jdk,apt-get
SBRect,R CMD javareconf,R CMD
GGEBiplotGUI,apt-get install -y bwidget,apt-get
ezknitr,apt-get install -y pandoc,apt-get
caRpools,apt-get install -y bowtie2,apt-get
rkafkajars,apt-get install -y default-jdk,apt-get
rkafkajars,R CMD javareconf,R CMD
rapport,apt-get install -y pandoc,apt-get
networkreporting,apt-get install -y make,apt-get
coxinterval,apt-get install -y make,apt-get
IUPS,apt-get install -y jags,apt-get
helloJavaWorld,apt-get install -y default-jdk,apt-get
helloJavaWorld,R CMD javareconf,R CMD
skm,apt-get install -y make,apt-get
multibiplotGUI,apt-get install -y bwidget,apt-get
multibiplotGUI,apt-get install -y tcl,apt-get
multibiplotGUI,apt-get install -y tk,apt-get
multibiplotGUI,apt-get install -y tk-dev,apt-get
tutorial,apt-get install -y pandoc,apt-get
forensim,apt-get install -y tcl,apt-get
forensim,apt-get install -y tk,apt-get
forensim,apt-get install -y tk-dev,apt-get
forensim,apt-get install -y tk-table,apt-get
Deducer,apt-get install -y default-jdk,apt-get
Deducer,R CMD javareconf,R CMD
MDSGUI,apt-get install -y bwidget,apt-get
MDSGUI,apt-get install -y tk-table,apt-get
edeR,apt-get install -y default-jdk,apt-get
edeR,R CMD javareconf,R CMD
PortfolioEffectHFT,apt-get install -y default-jdk,apt-get
PortfolioEffectHFT,R CMD javareconf,R CMD
dgmb,apt-get install -y bwidget,apt-get
dgmb,apt-get install -y tk-table,apt-get
minqa,apt-get install -y make,apt-get
simplexreg,apt-get install -y libgsl0-dev,apt-get
elexr,apt-get install -y python,apt-get
RFreak,apt-get install -y default-jdk,apt-get
RFreak,R CMD javareconf,R CMD
Rdroolsjars,apt-get install -y default-jdk,apt-get
Rdroolsjars,R CMD javareconf,R CMD
BiBitR,apt-get install -y default-jdk,apt-get
BiBitR,R CMD javareconf,R CMD
survSNP,apt-get install -y libgsl0-dev,apt-get
gcbd,apt-get install -y nvidia-cuda-dev,apt-get
rnetcarto,apt-get install -y libgsl0-dev,apt-get
SBSA,apt-get install -y make,apt-get
sharx,apt-get install -y jags,apt-get
RKEA,apt-get install -y default-jdk,apt-get
RKEA,R CMD javareconf,R CMD
RNetLogo,apt-get install -y default-jdk,apt-get
